idx,doc_id,senti_score_assets,senti_score_economy,senti_score_expenses,senti_score_govt policy,senti_score_industry,senti_score_innovation,senti_score_liquidity,senti_score_margins,senti_score_merges_acquisitions,senti_score_negative indicators,senti_score_positive indicators,indicators_ratio,senti_score_pricing,senti_score_product portfolio,senti_score_ratio,senti_score_recent trends,senti_score_recognition_awards,senti_score_revenue,senti_score_stocks,company,BSE_Code,Release_Date,BSE_Code_Yr,id,yr,Base_Price,one_mnthcp,six_mnthcp,one_yearcp,one_mnthcpchngper,six_mnthcpchngper,one_yearcpchngper,y_target,y_segment,y_target1,y_target6,y_target12
456,D:\Danny\DATA_text\SHOPERSTOP\5326380311.txt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,SHOPERSTOP,532638,1/3/2011,532638_2011,532638,2011,354.9,345.05,398.4,325.15,-2.8,12.3,-8.4,6.163630544,6to7,4.991792206,5.089446475,4.953006181
457,D:\Danny\DATA_text\SHOPERSTOP\5326380312.txt,7,4,2,12,8,6,2,3,5,2,2,1,2,3,2,3,3,5,5,SHOPERSTOP,532638,1/3/2012,532638_2012,532638,2012,325.15,359.3,349.55,417,10.5,7.5,28.2,6.340359304,6to7,5.078293943,5.059425458,5.182906515
458,D:\Danny\DATA_text\SHOPERSTOP\5326380313.txt,6,2,1,10,7,8,3,5,5,3,7,2.333333333,2,2,4,3,1,2,7,SHOPERSTOP,532638,1/3/2013,532638_2013,532638,2013,417,376.15,345.4,381.15,-9.8,-17.2,-8.6,6.275044467,6to7,4.943069975,4.888844237,4.951592753
459,D:\Danny\DATA_text\SHOPERSTOP\5326380315.txt,7,4,2,19,8,9,2,5,6,2,7,3.5,5,4,9,4,2,3,6,SHOPERSTOP,532638,1/3/2015,532638_2015,532638,2015,469.6,374,385.75,402.7,-20.4,-17.9,-14.2,6.314815359,6to7,4.864452784,4.883559212,4.911183215
460,D:\Danny\DATA_text\SHREECEM\5003870310.txt,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,SHREECEM,500387,1/3/2010,500387_2010,500387,2010,2145.5,2283.2,1859.65,1729.7,6.4,-13.3,-19.4,7.538867469,7to8,5.052416828,4.917788744,4.872139217
461,D:\Danny\DATA_text\SHREECEM\5003870311.txt,3,8,0.333333333,41,21,3.8,7,3,6,2.5,7.5,3,4.666666667,1.666666667,2.75,10,2.5,6,8,SHREECEM,500387,1/3/2011,500387_2011,500387,2011,1729.7,1968.8,1664.8,2754.1,13.8,-3.8,59.2,7.973878811,7to8,5.098646171,4.984975547,5.343290732
462,D:\Danny\DATA_text\SHREECEM\5003870612.txt,9,6.333333333,1,20.5,13,4.6,1.5,3,5,2.5,20,8,6,9,9,8,15,12,2,SHREECEM,500387,1/6/2012,500387_2012,500387,2012,2754.1,2863.2,3385,4357.55,4,22.9,58.2,8.413509048,8+,5.036952602,5.152713393,5.338499156
463,D:\Danny\DATA_text\SHREECEM\5003870613.txt,7.5,19,0.5,6,3.8,2.25,0.5,2,7,3,16,5.333333333,3.666666667,8,8,4,1,2.5,2,SHREECEM,500387,1/6/2013,500387_2013,500387,2013,4357.55,4028.5,3583.4,4678.8,-7.6,-17.8,7.4,8.482353269,8+,4.958639999,4.884315927,5.058790336
464,D:\Danny\DATA_text\SHREECEM\5003870614.txt,1.5,4.666666667,1.5,6,4.25,3.285714286,2,2,12,2,9.666666667,4.833333333,16,4.5,11.5,8,9,2,8,SHREECEM,500387,1/6/2014,500387_2014,500387,2014,4678.8,5856.15,7870.6,10822.55,25.2,68.2,131.3,9.303151978,8+,5.165928179,5.385412073,5.639421715
465,D:\Danny\DATA_text\SHREECEM\5003870615.txt,2,1.571428571,0.5,3.3,2.833333333,5.6,1,2,6,2,35,17.5,2.333333333,4.5,13,6,3,6,7,SHREECEM,500387,1/6/2015,500387_2015,500387,2015,10822.55,10513.65,10802.05,11472.6,-2.9,-0.2,6,9.360706758,8+,4.991112628,5.009301071,5.049856007
466,D:\Danny\DATA_text\SHREYAS\5201510310.txt,8,2,2,6,8,0.875,1,3,1,0.5,0.666666667,1.333333333,6,1.333333333,2.5,0.333333333,2,4,2,SHREYAS,520151,1/3/2010,520151_2010,520151,2010,33.1,37.7,36.85,32.5,13.9,11.3,-1.8,5.206750173,5to6,5.099256486,5.083265985,4.998562713
467,D:\Danny\DATA_text\SHREYAS\5201510311.txt,2.333333333,4,1,4,8,1.5,1,3,0.5,1,5,5,6,2,4,3,0.666666667,4,2,SHREYAS,520151,1/3/2011,520151_2011,520151,2011,32.5,37.4,26.65,31,15.1,-18,-4.6,5.198497031,5to6,5.106551351,4.882801923,4.979488565
468,D:\Danny\DATA_text\SHREYAS\5201510312.txt,3,2,2.666666667,4,9,10,2,6,3,1,7,7,3,1,9,2,1.5,5,1,SHREYAS,520151,1/3/2012,520151_2012,520151,2012,31,30.15,36.75,25.9,-2.7,18.5,-16.5,5.169915652,5to6,4.992471323,5.12693575,4.894101478
469,D:\Danny\DATA_text\SHREYAS\5201510313.txt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,SHREYAS,520151,1/3/2013,520151_2013,520151,2013,25.9,30.65,20.95,19.35,18.3,-19.1,-25.3,5.131967579,5to6,5.125748101,4.874433673,4.825910853
470,D:\Danny\DATA_text\SHREYAS\5201510314.txt,5,6,1,2,9,13,4,4,6,3,1,0.333333333,6,3,2.666666667,5,3,4,1,SHREYAS,520151,1/3/2014,520151_2014,520151,2014,19.35,25.85,44,444.9,33.6,127.4,2199.2,6.388393324,6to7,5.212759478,5.625460508,7.761830124
